用户id,订单量,商品种类数,商品数量,用户长度,复购次数
47155,6,5,12,41,1
47156,2,1,2,22,1
47157,1,1,1,86,
47158,3,3,3,77,0
47159,3,2,7,70,1
4716,7,7,25,334,0
47160,2,2,4,56,0
47161,22,16,44,330,6
47162,6,2,6,101,4
47163,29,17,39,317,12
47164,1,1,1,6,
47165,14,10,17,348,4
47166,12,5,12,326,7
47167,15,7,34,365,8
47168,12,6,14,361,6
47169,8,4,16,209,4
4717,16,7,31,354,9
47170,28,20,49,295,8
47171,5,2,5,359,3
47172,1,1,1,3,
47173,3,3,5,22,0
47174,1,1,1,40,
47175,25,10,32,289,15
47176,6,4,8,140,2
47177,2,1,2,61,1
47178,27,7,27,365,20
47179,3,3,3,89,0
4718,2,2,2,244,0
47180,13,5,16,127,8
47181,8,4,15,345,4
47182,8,2,8,352,6
47183,3,3,4,70,0
47184,24,12,41,364,12
47185,8,5,21,137,3
47186,1,1,2,56,
47187,25,17,33,317,8
47188,1,1,1,85,
47189,5,4,8,222,1
4719,19,7,29,359,12
47190,5,1,5,317,4
47191,1,1,1,81,
47192,20,12,24,353,8
47193,1,1,3,58,
47194,2,1,3,100,1
47195,1,1,4,7,
47196,1,1,1,89,
47197,14,4,23,331,10
47198,2,1,2,82,1
47199,3,2,3,65,1
472,3,3,6,40,0
4720,8,4,8,83,4
47200,9,7,17,217,2
47201,5,1,6,78,4
47202,3,2,3,145,1
47203,2,2,2,31,0
47204,20,17,23,363,3
47205,28,11,66,329,17
47206,3,3,3,315,0
47207,1,1,1,47,
47208,3,3,3,100,0
47209,2,2,3,39,0
4721,3,2,3,76,1
47210,8,6,8,340,2
47211,14,9,20,351,5
47212,29,7,84,351,22
47213,1,1,1,14,
47214,24,8,31,334,16
47215,11,8,11,182,3
47216,9,5,10,313,4
47217,6,4,7,229,2
47218,9,5,9,327,4
47219,5,2,5,197,3
4722,2,2,2,78,0
47220,2,1,3,171,1
47221,8,6,10,334,2
47222,5,5,5,181,0
47223,2,2,3,109,0
47224,3,2,3,74,1
47225,14,14,14,172,0
47226,4,3,7,18,1
47227,1,1,2,20,
47228,1,1,1,7,
47229,16,8,17,247,8
4723,1,1,1,74,
47230,3,1,3,101,2
47231,3,3,3,113,0
47232,10,6,15,210,4
47233,11,5,11,218,6
47234,2,2,2,210,0
47235,3,3,5,349,0
47236,5,2,10,161,3
47237,1,1,1,46,
47238,1,1,1,85,
47239,4,4,5,233,0
4724,1,1,1,37,
47240,1,1,1,64,
47241,2,2,2,41,0
47242,11,9,18,207,2
47243,8,8,9,128,0
47244,1,1,1,88,
47245,1,1,1,88,
47246,7,3,8,72,4
47247,1,1,1,45,
47248,2,1,3,154,1
47249,7,6,17,192,1
4725,10,8,11,325,2
47250,30,10,35,350,20
47251,1,1,1,7,
47252,10,3,19,317,7
47253,1,1,1,45,
47254,8,6,9,259,2
47255,2,2,2,57,0
47256,6,4,6,102,2
47257,1,1,1,25,
47258,1,1,1,86,
47259,1,1,1,79,
4726,2,2,4,114,0
47260,12,9,12,171,3
47261,5,5,8,262,0
47262,1,1,1,14,
47263,1,1,1,85,
47264,26,8,47,212,18
47265,37,31,60,315,6
47266,23,20,32,317,3
47267,10,6,10,339,4
47268,6,6,12,30,0
47269,1,1,1,7,
4727,3,3,7,133,0
47270,4,4,6,55,0
47271,6,5,6,236,1
47272,6,5,6,348,1
47273,2,2,2,17,0
47274,13,11,16,171,2
47275,2,2,2,175,0
47276,13,8,17,325,5
47277,4,3,4,297,1
47278,16,5,18,217,11
47279,2,2,2,105,0
4728,3,3,3,85,0
47280,11,4,11,355,7
47281,10,2,23,171,8
47282,3,2,3,294,1
47283,10,9,11,250,1
47284,2,2,4,5,0
47285,1,1,1,11,
47286,1,1,1,85,
47287,14,7,19,351,7
47288,11,7,11,343,4
47289,1,1,1,36,
4729,3,2,5,144,1
47290,19,13,19,365,6
47291,1,1,1,12,
47292,2,2,3,79,0
47293,2,2,2,33,0
47294,11,11,46,60,0
47295,2,2,2,52,0
47296,11,6,30,170,5
47297,26,10,27,344,16
47298,15,10,34,357,5
47299,3,2,3,20,1
473,1,1,1,14,
4730,3,3,3,182,0
47300,2,1,2,79,1
47301,18,14,57,181,4
47302,3,2,3,174,1
47303,2,2,2,89,0
47304,3,3,4,171,0
47305,1,1,1,18,
47306,14,12,14,178,2
47307,11,6,14,358,5
47308,14,5,20,365,9
47309,12,7,12,348,5
4731,3,2,3,53,1
47310,2,2,2,42,0
47311,3,2,4,90,1
47312,2,2,3,12,0
47313,19,7,20,194,12
47314,8,6,15,132,2
47315,3,3,4,22,0
47316,7,4,16,355,3
47317,3,3,3,45,0
47318,2,1,2,68,1
47319,3,3,3,115,0
4732,1,1,1,45,
47320,1,1,1,69,
47321,2,2,2,6,0
47322,2,2,2,101,0
47323,6,4,10,338,2
47324,17,11,37,349,6
47325,1,1,1,72,
47326,8,6,12,70,2
47327,19,9,25,338,10
47328,1,1,1,70,
47329,15,8,16,263,7
4733,3,2,3,138,1
47330,14,6,21,178,8
47331,3,3,4,129,0
47332,10,4,17,295,6
47333,3,3,3,70,0
47334,12,6,18,108,6
47335,1,1,1,82,
47336,1,1,1,31,
47337,1,1,1,48,
47338,10,9,13,101,1
47339,2,2,2,13,0
4734,8,6,25,284,2
47340,7,7,8,236,0
47341,1,1,1,57,
47342,1,1,1,8,
47343,6,4,8,63,2
47344,5,2,5,87,3
47345,1,1,1,77,
47346,26,16,26,347,10
47347,28,20,47,319,8
47348,11,10,14,300,1
47349,15,9,29,362,6
4735,1,1,2,59,
47350,1,1,3,67,
47351,1,1,1,61,
47352,4,4,4,87,0
47353,4,2,4,122,2
47354,18,7,22,329,11
47355,33,13,64,318,20
47356,17,14,19,225,3
47357,3,3,3,24,0
47358,8,5,13,103,3
47359,6,2,11,353,4
4736,7,3,7,321,4
47360,12,6,17,292,6
47361,20,8,20,348,12
47362,9,5,9,113,4
47363,16,10,19,208,6
47364,7,6,7,141,1
47365,1,1,1,77,
47366,6,5,14,346,1
47367,17,12,21,223,5
47368,7,2,12,334,5
47369,1,1,1,11,
4737,1,1,1,1,
47370,6,3,8,247,3
47371,1,1,1,47,
47372,32,6,84,357,26
47373,20,13,21,296,7
47374,12,8,12,364,4
47375,24,15,29,317,9
47376,10,6,20,207,4
47377,11,9,12,209,2
47378,6,6,10,340,0
47379,2,2,2,6,0
4738,4,4,4,269,0
47380,12,8,16,355,4
47381,4,3,9,19,1
47382,2,2,3,54,0
47383,2,2,2,54,0
47384,1,1,1,16,
47385,6,6,9,265,0
47386,1,1,1,37,
47387,1,1,1,52,
47388,1,1,1,12,
47389,1,1,1,58,
4739,1,1,2,22,
47390,4,4,4,171,0
47391,8,7,11,74,1
47392,8,5,39,321,3
47393,1,1,1,53,
47394,1,1,1,45,
47395,3,2,3,314,1
47396,2,1,2,62,1
47397,2,2,2,45,0
47398,1,1,1,23,
47399,7,6,11,54,1
474,21,16,22,330,5
4740,1,1,1,6,
47400,10,2,11,363,8
47401,5,5,7,180,0
47402,1,1,1,34,
47403,20,14,20,351,6
47404,1,1,1,6,
47405,8,4,8,138,4
47406,3,3,3,69,0
47407,7,7,9,216,0
47408,11,9,14,231,2
47409,11,7,12,308,4
4741,3,3,3,171,0
47410,9,5,9,235,4
47411,73,34,149,361,39
47412,6,5,10,171,1
47413,6,3,6,309,3
47414,3,1,6,109,2
47415,5,4,8,88,1
47416,1,1,1,29,
47417,6,4,9,128,2
47418,13,7,13,353,6
47419,1,1,1,53,
4742,2,2,2,19,0
47420,19,12,21,269,7
47421,1,1,2,59,
47422,6,6,6,232,0
47423,2,2,2,171,0
47424,34,18,43,357,16
47425,9,3,13,290,6
47426,8,7,8,189,1
47427,1,1,4,21,
47428,9,8,9,361,1
47429,1,1,1,23,
4743,12,8,12,317,4
47430,8,5,8,224,3
47431,4,2,4,174,2
47432,11,8,21,313,3
47433,3,2,6,76,1
47434,8,4,9,260,4
47435,13,3,19,358,10
47436,13,11,14,247,2
47437,14,5,23,302,9
47438,6,5,8,210,1
47439,2,2,2,17,0
4744,7,4,7,49,3
47440,1,1,1,20,
47441,3,2,3,61,1
47442,1,1,1,56,
47443,1,1,1,55,
47444,3,3,5,140,0
47445,3,3,3,176,0
47446,36,3,41,355,33
47447,2,2,2,320,0
47448,8,5,21,181,3
47449,13,10,25,358,3
4745,14,6,16,355,8
47450,8,3,12,301,5
47451,1,1,1,55,
47452,17,7,22,361,10
47453,8,7,10,182,1
47454,18,6,28,224,12
47455,13,5,55,220,8
47456,3,2,4,323,1
47457,1,1,2,36,
47458,22,18,23,358,4
47459,4,4,5,236,0
4746,5,1,6,192,4
47460,4,1,4,157,3
47461,7,4,8,152,3
47462,4,1,4,257,3
47463,13,5,74,170,8
47464,10,8,10,177,2
47465,31,14,51,340,17
47466,5,3,5,104,2
47467,4,2,4,275,2
47468,11,10,11,163,1
47469,1,1,1,69,
4747,2,2,3,73,0
47470,16,8,16,346,8
47471,2,2,2,24,0
47472,5,3,8,140,2
47473,8,4,8,181,4
47474,27,20,41,363,7
47475,4,4,16,252,0
47476,37,25,53,349,12
47477,14,7,15,205,7
47478,5,5,7,103,0
47479,5,4,5,196,1
4748,1,1,5,68,
47480,4,3,6,70,1
47481,11,11,33,235,0
47482,2,1,2,86,1
47483,1,1,1,23,
47484,5,1,11,155,4
47485,18,6,20,337,12
47486,1,1,1,13,
47487,15,9,16,226,6
47488,3,2,3,113,1
47489,1,1,1,22,
4749,8,4,10,154,4
47490,2,2,2,37,0
47491,2,2,2,347,0
47492,40,9,63,365,31
47493,16,10,22,265,6
47494,3,2,10,69,1
47495,7,3,11,152,4
47496,3,3,3,319,0
47497,3,2,3,101,1
47498,14,10,15,274,4
47499,6,6,10,112,0
475,2,2,2,79,0
4750,4,4,4,223,0
47500,11,9,14,348,2
47501,2,2,4,27,0
47502,4,2,4,90,2
47503,7,6,29,320,1
47504,1,1,1,28,
47505,7,5,7,216,2
47506,1,1,4,6,
47507,7,7,9,118,0
47508,31,19,46,328,12
47509,1,1,1,57,
4751,5,5,5,71,0
47510,6,6,7,354,0
47511,1,1,1,4,
47512,15,12,23,360,3
47513,1,1,1,80,
47514,16,4,16,360,12
47515,14,10,34,345,4
47516,1,1,1,18,
47517,3,3,4,52,0
47518,8,4,8,237,4
47519,1,1,2,42,
4752,19,14,23,174,5
47520,2,2,3,111,0
47521,5,2,5,66,3
47522,9,5,11,318,4
47523,30,12,35,225,18
47524,2,2,2,22,0
47525,5,1,5,113,4
47526,3,2,4,140,1
47527,16,13,18,215,3
47528,2,2,3,74,0
47529,37,15,48,365,22
4753,9,6,25,186,3
47530,5,5,5,343,0
47531,12,4,12,197,8
47532,4,2,4,196,2
47533,1,1,1,56,
47534,1,1,2,13,
47535,16,12,23,280,4
47536,3,2,4,141,1
47537,6,4,6,47,2
47538,49,12,128,364,37
47539,1,1,1,48,
4754,6,5,6,328,1
47540,7,7,22,117,0
47541,4,2,8,76,2
47542,15,3,17,186,12
47543,3,3,6,3,0
47544,1,1,1,50,
47545,2,2,6,18,0
47546,3,3,6,19,0
47547,1,1,1,82,
47548,1,1,1,3,
47549,15,6,15,337,9
4755,1,1,1,57,
47550,11,7,28,343,4
47551,1,1,2,77,
47552,4,4,4,135,0
47553,3,3,3,140,0
47554,4,4,4,357,0
47555,3,3,4,118,0
47556,11,7,20,353,4
47557,7,7,12,209,0
47558,9,9,9,254,0
47559,2,1,2,68,1
4756,1,1,4,60,
47560,9,3,9,311,6
47561,1,1,1,45,
47562,38,8,55,365,30
47563,15,7,21,349,8
47564,18,14,23,344,4
47565,7,5,15,265,2
47566,14,7,19,307,7
47567,18,7,18,243,11
47568,4,4,4,151,0
47569,4,4,6,89,0
4757,3,2,3,52,1
47570,4,4,4,343,0
47571,7,7,7,72,0
47572,5,3,5,111,2
47573,2,2,2,26,0
47574,38,17,91,360,21
47575,12,4,21,332,8
47576,9,4,11,364,5
47577,17,10,20,341,7
47578,6,5,7,175,1
47579,3,2,3,77,1
4758,8,5,12,353,3
47580,7,6,7,211,1
47581,2,2,2,38,0
47582,2,2,3,63,0
47583,3,1,3,86,2
47584,3,3,3,73,0
47585,26,8,32,345,18
47586,2,2,2,39,0
47587,2,2,3,27,0
47588,4,2,4,75,2
47589,12,8,19,353,4
4759,1,1,1,70,
47590,3,2,3,26,1
47591,1,1,2,26,
47592,1,1,1,33,
47593,4,3,4,160,1
47594,2,2,2,78,0
47595,1,1,1,49,
47596,1,1,1,66,
47597,1,1,1,17,
47598,5,5,8,263,0
47599,2,2,2,50,0
476,5,5,5,225,0
4760,11,7,15,329,4
47600,2,1,3,111,1
47601,4,4,4,268,0
47602,1,1,4,56,
47603,51,32,56,359,19
47604,1,1,1,9,
47605,3,2,3,92,1
47606,13,5,13,324,8
47607,1,1,1,54,
47608,5,3,5,86,2
47609,2,2,2,83,0
4761,4,3,4,320,1
47610,12,8,20,360,4
47611,3,3,3,201,0
47612,7,4,8,202,3
47613,1,1,1,25,
47614,8,7,8,339,1
47615,11,11,14,324,0
47616,31,26,66,365,5
47617,1,1,1,13,
47618,3,2,3,320,1
47619,2,2,4,141,0
4762,5,3,6,335,2
47620,4,4,4,104,0
47621,2,2,3,330,0
47622,1,1,1,47,
47623,4,3,4,87,1
47624,2,2,3,109,0
47625,7,3,14,113,4
47626,6,6,8,101,0
47627,3,3,3,120,0
47628,10,7,23,249,3
47629,3,3,3,11,0
4763,8,5,13,249,3
47630,3,3,3,127,0
47631,2,2,2,6,0
47632,3,2,3,40,1
47633,1,1,1,35,
47634,2,2,2,291,0
47635,4,2,5,152,2
47636,5,4,29,263,1
47637,8,4,27,152,4
47638,10,7,11,152,3
47639,16,13,17,353,3
4764,13,6,13,339,7
47640,2,2,2,175,0
47641,14,4,25,343,10
47642,5,5,5,129,0
47643,1,1,2,20,
47644,1,1,1,14,
47645,31,12,31,316,19
47646,1,1,1,35,
47647,4,2,4,67,2
47648,7,5,14,335,2
47649,1,1,1,59,
4765,6,4,9,321,2
47650,16,10,24,355,6
47651,1,1,1,12,
47652,4,3,4,32,1
47653,7,5,9,159,2
47654,33,16,40,364,17
47655,10,6,18,264,4
47656,11,8,12,323,3
47657,10,7,10,318,3
47658,32,10,32,358,22
47659,9,8,12,275,1
4766,1,1,2,60,
47660,2,2,3,82,0
47661,11,10,12,321,1
47662,1,1,1,75,
47663,18,13,115,86,5
47664,1,1,1,61,
47665,10,6,11,293,4
47666,3,3,3,34,0
47667,17,13,29,315,4
47668,4,4,4,233,0
47669,9,2,9,339,7
4767,7,3,7,179,4
47670,3,3,4,136,0
47671,11,5,11,275,6
47672,20,8,24,365,12
47673,5,2,9,274,3
47674,11,8,11,253,3
47675,5,3,9,110,2
47676,1,1,1,4,
47677,3,3,3,57,0
47678,1,1,2,34,
47679,22,13,25,290,9
4768,1,1,1,22,
47680,16,11,45,227,5
47681,1,1,1,28,
47682,2,2,2,169,0
47683,7,7,15,317,0
47684,18,13,19,347,5
47685,17,10,23,351,7
47686,3,3,4,78,0
47687,2,1,4,117,1
47688,5,3,5,156,2
47689,15,13,16,350,2
4769,5,5,8,323,0
47690,3,3,4,88,0
47691,3,3,4,290,0
47692,5,2,6,71,3
47693,1,1,1,76,
47694,14,11,16,344,3
47695,2,2,2,28,0
47696,5,5,6,321,0
47697,13,6,17,276,7
47698,1,1,1,26,
47699,19,14,21,353,5
477,8,5,8,175,3
4770,2,2,9,50,0
47700,5,4,11,236,1
47701,7,6,7,319,1
47702,2,1,2,82,1
47703,8,6,8,85,2
47704,4,4,6,51,0
47705,4,3,4,209,1
47706,6,3,7,193,3
47707,10,7,10,107,3
47708,3,1,3,104,2
47709,11,3,11,348,8
4771,5,4,18,206,1
47710,6,4,7,316,2
47711,43,30,56,338,13
47712,9,4,9,354,5
47713,2,2,2,20,0
47714,3,2,3,211,1
47715,14,6,49,103,8
47716,1,1,2,14,
47717,1,1,1,40,
47718,2,2,4,19,0
47719,6,6,6,63,0
4772,12,5,15,333,7
47720,2,2,2,87,0
47721,1,1,1,25,
47722,24,6,70,343,18
47723,14,8,18,340,6
47724,2,2,7,11,0
47725,1,1,1,63,
47726,29,13,35,351,16
47727,1,1,1,15,
47728,5,5,10,286,0
47729,1,1,1,47,
4773,3,2,5,12,1
47730,6,2,11,234,4
47731,19,7,32,333,12
47732,6,4,6,303,2
47733,4,4,4,225,0
47734,7,6,8,47,1
47735,6,6,13,160,0
47736,21,4,31,323,17
47737,12,3,20,356,9
47738,2,1,3,29,1
47739,1,1,1,76,
4774,25,24,44,322,1
47740,20,7,22,172,13
47741,7,6,7,191,1
47742,24,11,31,355,13
47743,1,1,1,83,
47744,40,15,50,340,25
47745,4,3,4,176,1
47746,16,5,16,289,11
47747,7,5,10,337,2
47748,8,7,13,207,1
47749,2,2,2,32,0
4775,2,1,2,77,1
47750,1,1,1,5,
47751,5,3,6,352,2
47752,1,1,1,54,
47753,3,3,3,147,0
47754,1,1,1,71,
47755,15,10,16,290,5
47756,12,9,15,231,3
47757,1,1,1,23,
47758,9,8,13,317,1
47759,5,3,5,147,2
4776,4,4,4,124,0
47760,3,2,3,129,1
47761,1,1,1,28,
47762,3,3,3,156,0
47763,1,1,1,24,
47764,7,4,7,329,3
47765,3,2,3,50,1
47766,2,2,2,127,0
47767,1,1,1,20,
47768,12,10,25,344,2
47769,8,3,9,307,5
4777,6,3,6,321,3
47770,5,5,9,256,0
47771,11,10,18,125,1
47772,12,6,12,319,6
47773,8,6,11,280,2
47774,21,15,47,334,6
47775,5,4,7,246,1
47776,4,3,4,175,1
47777,2,2,2,37,0
47778,3,3,3,28,0
47779,8,5,11,52,3
4778,2,1,2,106,1
47780,62,23,86,355,39
47781,1,1,1,11,
47782,2,2,5,46,0
47783,3,3,9,122,0
47784,5,5,6,307,0
47785,14,8,18,293,6
47786,2,2,2,45,0
47787,6,4,7,172,2
47788,2,2,2,66,0
47789,17,12,22,320,5
4779,8,4,9,97,4
47790,3,3,3,171,0
47791,6,3,6,341,3
47792,1,1,2,30,
47793,6,5,6,176,1
47794,3,3,3,10,0
47795,8,3,19,347,5
47796,13,3,15,221,10
47797,19,16,40,48,3
47798,2,2,2,66,0
47799,13,9,19,321,4
478,6,5,6,250,1
4780,13,8,24,263,5
47800,6,3,12,140,3
47801,7,5,12,109,2
47802,1,1,1,66,
47803,18,10,29,344,8
47804,4,2,6,357,2
47805,1,1,1,42,
47806,1,1,1,20,
47807,5,2,5,227,3
47808,6,4,12,206,2
47809,17,11,27,332,6
4781,14,9,19,304,5
47810,5,4,6,171,1
47811,9,7,9,354,2
47812,10,4,11,201,6
47813,2,2,2,81,0
47814,2,1,2,36,1
47815,20,15,22,206,5
47816,6,5,6,203,1
47817,22,16,54,344,6
47818,15,2,21,248,13
47819,1,1,3,19,
4782,5,2,5,358,3
47820,5,5,23,267,0
47821,3,3,4,84,0
47822,1,1,8,83,
47823,4,3,4,135,1
47824,6,4,6,150,2
47825,5,4,5,351,1
47826,68,42,83,359,26
47827,28,10,31,286,18
47828,18,12,22,355,6
47829,9,4,9,361,5
4783,1,1,1,22,
47830,1,1,1,37,
47831,9,5,9,340,4
47832,1,1,1,48,
47833,11,6,11,362,5
47834,7,7,12,314,0
47835,1,1,2,19,
47836,2,2,2,14,0
47837,11,5,12,354,6
47838,21,10,29,218,11
47839,7,3,10,326,4
4784,5,5,5,108,0
47840,30,21,40,358,9
47841,3,3,3,296,0
47842,6,2,6,350,4
47843,30,24,38,263,6
47844,7,4,8,206,3
47845,10,7,14,247,3
47846,1,1,2,85,
47847,25,21,41,365,4
47848,1,1,1,44,
47849,9,8,11,365,1
4785,31,19,35,361,12
47850,20,15,21,242,5
47851,1,1,1,43,
47852,12,9,19,98,3
47853,1,1,10,14,
47854,16,9,53,250,7
47855,35,26,62,355,9
47856,4,2,5,117,2
47857,19,10,21,267,9
47858,22,9,30,250,13
47859,9,5,9,124,4
4786,9,6,13,147,3
47860,3,3,4,361,0
47861,5,4,8,173,1
47862,15,11,45,170,4
47863,2,2,3,21,0
47864,1,1,2,9,
47865,3,2,3,79,1
47866,9,7,9,105,2
47867,11,7,11,317,4
47868,1,1,2,44,
47869,4,2,6,360,2
4787,19,11,25,340,8
47870,60,35,73,316,25
47871,1,1,3,42,
47872,27,21,42,317,6
47873,3,1,3,312,2
47874,14,5,16,350,9
47875,36,29,61,323,7
47876,2,1,2,132,1
47877,6,3,25,191,3
47878,5,4,5,230,1
47879,11,6,17,363,5
4788,3,3,3,86,0
47880,23,17,28,321,6
47881,3,2,3,150,1
47882,1,1,1,69,
47883,26,23,37,284,3
47884,2,2,3,101,0
47885,2,2,2,81,0
47886,7,5,7,202,2
47887,3,3,4,54,0
47888,13,7,18,194,6
47889,13,6,17,253,7
4789,2,2,2,45,0
47890,1,1,2,7,
47891,6,2,6,146,4
47892,1,1,1,74,
47893,3,3,3,110,0
47894,9,5,9,260,4
47895,2,2,5,192,0
47896,3,3,7,212,0
47897,7,3,7,347,4
47898,1,1,1,84,
47899,8,5,19,325,3
479,1,1,1,84,
4790,5,3,9,153,2
47900,4,2,5,313,2
47901,2,2,5,48,0
47902,7,6,8,175,1
47903,37,13,53,365,24
47904,3,2,3,120,1
47905,3,3,3,172,0
47906,1,1,2,35,
47907,4,4,4,159,0
47908,24,13,24,324,11
47909,1,1,1,62,
4791,3,3,3,10,0
47910,10,7,11,363,3
47911,1,1,1,31,
47912,9,4,10,119,5
47913,4,4,4,85,0
47914,3,3,6,26,0
47915,1,1,1,55,
47916,1,1,1,32,
47917,5,5,7,115,0
47918,6,5,7,25,1
47919,1,1,1,79,
4792,63,26,197,39,37
47920,3,3,6,85,0
47921,18,11,21,356,7
47922,24,9,52,357,15
47923,1,1,1,36,
47924,3,3,3,123,0
47925,4,3,5,63,1
47926,38,13,58,309,25
47927,2,2,2,65,0
47928,4,4,4,115,0
47929,19,7,33,342,12
4793,37,25,48,363,12
47930,2,2,2,80,0
47931,2,2,2,123,0
47932,1,1,1,1,
47933,1,1,1,39,
47934,3,3,8,64,0
47935,8,8,16,181,0
47936,24,6,40,360,18
47937,4,3,5,110,1
47938,3,3,3,84,0
47939,7,6,7,201,1
4794,4,4,4,74,0
47940,10,10,10,313,0
47941,5,5,8,18,0
47942,16,14,19,325,2
47943,13,9,17,329,4
47944,2,2,2,7,0
47945,45,22,51,307,23
47946,14,5,22,257,9
47947,17,11,18,221,6
47948,9,5,9,291,4
47949,6,4,6,52,2
4795,1,1,1,56,
47950,5,3,5,60,2
47951,3,3,3,89,0
47952,5,5,5,334,0
47953,9,7,15,355,2
47954,9,1,9,317,8
47955,1,1,1,33,
47956,11,7,11,306,4
47957,5,4,5,188,1
47958,3,3,3,41,0
47959,10,5,10,352,5
4796,9,5,11,78,4
47960,13,6,38,299,7
47961,8,4,9,202,4
47962,5,5,6,67,0
47963,11,7,13,189,4
47964,3,3,3,85,0
47965,5,4,5,172,1
47966,2,2,2,8,0
47967,7,4,12,339,3
47968,6,2,6,345,4
47969,2,2,2,84,0
4797,7,3,8,114,4
47970,3,2,3,104,1
47971,3,3,3,64,0
47972,9,3,9,232,6
47973,15,7,16,324,8
47974,3,3,3,132,0
47975,7,6,9,184,1
47976,1,1,1,55,
47977,12,9,15,262,3
47978,3,3,3,130,0
47979,7,1,7,353,6
4798,3,2,8,172,1
47980,1,1,1,71,
47981,3,2,4,75,1
47982,2,2,2,227,0
47983,12,11,13,289,1
47984,2,2,3,75,0
47985,2,2,2,54,0
47986,4,4,7,243,0
47987,11,4,20,248,7
47988,6,5,12,314,1
47989,1,1,1,81,
4799,17,10,17,350,7
47990,11,5,18,354,6
47991,5,2,5,146,3
47992,16,6,18,287,10
47993,7,5,7,141,2
47994,3,2,3,132,1
47995,23,8,32,361,15
47996,8,6,9,90,2
47997,7,7,8,158,0
47998,7,7,8,178,0
47999,4,3,6,344,1
48,5,3,5,187,2
480,28,15,33,357,13
4800,4,2,4,166,2
48000,12,9,19,312,3
48001,5,4,5,64,1
48002,9,6,10,111,3
48003,39,8,41,244,31
48004,3,2,7,241,1
48005,2,2,4,159,0
48006,44,16,49,288,28
48007,3,3,3,154,0
48008,21,14,38,268,7
48009,17,10,25,363,7
4801,2,2,3,25,0
48010,7,7,8,178,0
48011,4,3,5,251,1
48012,4,2,15,183,2
48013,3,3,3,89,0
48014,4,3,10,49,1
48015,3,1,5,67,2
48016,5,4,7,12,1
48017,10,5,10,295,5
48018,1,1,5,18,
48019,5,5,7,90,0
4802,13,9,19,347,4
48020,4,3,4,76,1
48021,2,2,2,32,0
48022,1,1,1,10,
48023,5,4,5,69,1
48024,3,3,3,136,0
48025,26,15,30,361,11
48026,6,4,9,258,2
48027,11,6,13,337,5
48028,16,11,16,316,5
48029,17,4,23,360,13
4803,1,1,1,44,
48030,20,18,41,330,2
48031,3,3,3,21,0
48032,5,4,6,103,1
48033,1,1,1,7,
48034,1,1,1,25,
48035,9,9,10,291,0
48036,1,1,1,46,
48037,7,7,10,315,0
48038,10,8,11,139,2
48039,2,2,2,84,0
4804,7,5,7,155,2
48040,3,2,3,58,1
48041,4,3,5,106,1
48042,1,1,1,52,
48043,18,13,20,251,5
48044,12,8,23,317,4
48045,4,3,6,243,1
48046,4,4,4,29,0
48047,8,2,13,245,6
48048,18,10,26,264,8
48049,2,2,4,176,0
4805,1,1,1,77,
48050,6,4,6,228,2
48051,14,12,25,363,2
48052,2,2,2,14,0
48053,6,1,6,344,5
48054,2,2,2,16,0
48055,3,3,4,67,0
48056,6,4,7,358,2
48057,33,16,44,349,17
48058,2,2,2,28,0
48059,5,3,5,47,2
4806,8,1,14,136,7
48060,38,10,49,355,28
48061,4,3,4,324,1
48062,15,7,16,350,8
48063,20,13,31,203,7
48064,3,3,3,179,0
48065,11,9,14,361,2
48066,4,4,7,364,0
48067,7,5,11,340,2
48068,2,1,6,44,1
48069,6,2,11,229,4
4807,5,4,5,341,1
48070,2,2,2,69,0
48071,7,4,11,238,3
48072,2,2,2,6,0
48073,3,3,3,145,0
48074,15,13,31,351,2
48075,11,6,14,319,5
48076,1,1,1,52,
48077,33,30,37,188,3
48078,2,1,2,22,1
48079,13,5,13,317,8
4808,4,2,4,77,2
48080,7,5,18,257,2
48081,13,9,13,256,4
48082,11,6,14,201,5
48083,11,7,13,210,4
48084,43,23,67,349,20
48085,31,20,40,357,11
48086,1,1,2,21,
48087,1,1,1,45,
48088,6,6,6,156,0
48089,17,12,27,192,5
4809,4,4,4,201,0
48090,1,1,1,7,
48091,9,6,15,306,3
48092,11,8,16,352,3
48093,1,1,2,22,
48094,6,6,6,314,0
48095,1,1,1,65,
48096,14,10,19,241,4
48097,12,8,16,355,4
48098,1,1,1,55,
48099,1,1,1,71,
481,2,2,4,87,0
4810,1,1,1,42,
48100,5,3,5,335,2
48101,25,20,35,348,5
48102,2,2,2,17,0
48103,19,14,19,343,5
48104,4,2,4,354,2
48105,1,1,1,4,
48106,4,3,4,84,1
48107,17,10,30,353,7
48108,9,5,10,202,4
48109,1,1,1,66,
4811,2,1,2,41,1
48110,7,5,7,57,2
48111,57,38,98,355,19
48112,14,13,18,363,1
48113,4,3,7,67,1
48114,9,4,9,200,5
48115,9,8,11,182,1
48116,1,1,1,12,
48117,14,11,16,59,3
48118,2,2,2,235,0
48119,11,7,21,357,4
4812,11,4,15,193,7
48120,1,1,1,29,
48121,41,24,49,226,17
48122,6,3,7,236,3
48123,4,3,5,134,1
48124,1,1,1,72,
48125,4,2,7,89,2
48126,8,6,10,207,2
48127,5,5,6,188,0
48128,2,2,2,21,0
48129,1,1,1,7,
4813,1,1,1,33,
48130,15,8,28,329,7
48131,42,21,62,342,21
48132,7,6,11,171,1
48133,17,9,20,335,8
48134,2,2,3,83,0
48135,29,8,40,364,21
